comment,label
Your are very good. keep it up,2
Aniqa Anjum Proma????,1
But I am,1
your good vai !! keep on going :D,2
hahaha,1
Amon video ro chai bro,1
New video ashe na kn??,1
Shethi is a thicc Boi.,1
"vi, sotti haste haste pore gesi, plz r troll korenna ebar more jabo haste haste",2
Awesome! We want,2
nice brooooooo,2
this guy works,1
cartoon er nam butt fix,1
That Ben make me cry for laughing :D :D,2
Dude we need some new where you at??,1
Dude we need some new where you at??,1
ButtFiXx your videos are awesome. Keep up the good work! Hoping for a new video soon.,2
heavy informativce r prottekt i compare kora,2
lsd is great,2
Waiting for more videos :D :D,2
Waiting for more videos :D :D,1
Bro. just,1
too good editing and concept,2
can't stop laughing. Good job guys. Carry on.,2
pinic party,1
gopro hero camera analysis was simply a masterpiece,2
seriouslly loved ur lines :D bcs question paper :v,2
Epic,2
Just aewsome bro,2
how you guys do these things so perfectly????,2
65 dislikes???buttfix u got some butthurts its we want more,0
Hero Bappi :p,2
funny,2
purie ostir bro. u r the best content creator as bangladesh youtuber,2
you just outdo yourself keep it up XD,2
The effort you guys give to make this for us to enjoy is unbelievable of it going brother (Y),2
The effort you guys give to make this for us to enjoy is unbelievable of it going brother (Y),2
TheRabi1234 does spelling mistakes a joke? Jokers of the decade!,0
josssss bro,2
Be more active bro.,1
"Love this crap, gonna make this crap great again!",2
plz vai give us a new video wait,1
Best!!!!!!,2
"Bro, nice",2
2 good,2
& Your videos are hilarious!,2
i didnt understand the bangali but still i love ur video and die laughing,2
BEST !!!,2
stunning,2
matha noshto !! how vai how !! kmne paren !! :D,2
"Bangla Talkies Nice video
",2
"Bangla Talkies coc ta ekta video banan
",1
"Bangla Talkies joss video shuvo noboborso
",2
"Plz watch this funny meme
",1
"Hey bangla talkis push my chanel up please
",1
"Osthir Hoise man!! You guys are always hit!!! :)
",2
"Osthir Hoise man!! You guys are always hit!!! :)
",2
"Hey bro , GTA 5 and GTA San Andreas neay dubbing banao please, please, please, please.
",1
"1day
",1
"My Name Is Also And I Really Loved It
",2
"Video ta onk funny hoise
",2
"Outstanding Awesome Very good.
",2
"Movie tar name Aktu bolban vhiya
",1
"josss
",2
"Video ending a song tar name ki?? Bolen plz
",2
"vai laste jei music ta download link ta plz dao
",1
"Awesome
",2
"movie name ki?
",1
"lol
",0
"last intro te jei song ta disen oitar link ta dea jabe please? :)
",1
"kala jahangir to vice city ar
",1
"Best dubbing yaar and Shuvho Noboborsho!
",2
"BANGLA TALKIES IS BEST!! And Shuvo Noboborsho!
",2
"Plz IPL 2018 niyee ekta video koren and love you Bangla talkies
",2
"you deserve a like ♥
",2
"The quality of Bangla Takies's video is going down day by day. Try to improve not only the content and quality but also dubbing.
",0
"osthir
",2
"Nice bro
",2
"of the best videos so far :)
",2
"Shairokom bro ra
",2
" look at bangladesh spelling
",1
"Joss
",2
"Last er scene ta jotil hoise shuvo noboborsho
",2
"Last er scene ta jotil hoise shuvo noboborsho
",2
"Bhai Express amr channel ta subscribe korar onurodh roilo.
",1
"Bhai Express amr channel ta subscribe korar onurodh roilo.
",1
"Good
",2
"Osthir
",2
"Only bangla talkies is real
",2
"xoss
",2
"amar id number;31204519
",1
"jusss
",2
"We love you bangla talkies very much
",2
"26 seconds ago
",1
"U r not
",1
"joss But too hoylo nah
",2
"joss But too hoylo nah
",1
"Oshaharon
",2
"Wasn't at all ready for the last scene
",1
"Poor finishing. But last er 30second bad dea 5 minuets valo lagse. Sob somoy airokom finishing interesting hoi na
",1
"So sad ending
",1
"so sad
",0
"sese happy ending ta dorkar chilo
",1
"Her crying is faker than fake
",0
"Good job
",2
"Last er tuk totally weird doesn't Ak theme theika hut koira onno
",0
"Love is eternal like as grecian ern
",1
"you are right bro
",2
"apurbaaaaaaaaaaaa you r so oooooo ooo handsomeeeeeeeee
",2
"starting ta khub sundor vabe last moment ta very
",2
"Shob natok er shes A Amen kano hoy bojie na dhor Romantic time A
",1
"Like just a shit ! Ending ta eirokom na holle better huuhh
",0
"it was disgusting
",0
"Awesome ✌✌✌
",2
"hi guys cheak my channel
",1
"nice♥{♥}
",2
"mil holy onek onek valo lagto.
",1
"salute
",2
"oporbo boss
",2
"apurbo is the best
",2
"Applied physics na bole EEE bolte
",1
"Supper
",2
"amar love story sathe 60% mil ase♥♥♥♥
",2
"Potoma to kub moja py si bt ato dukkho life a knw asa???
",0
"Potoma to kub moja py si bt ato dukkho life a knw asa???
",1
"superb superb superb drama
",2
"Sorry to say, Finishing ta balo lage
",2
"SO NICe
",2
"SO NICe
",2
"MiTa KhAn R8 bolecnn
",2
"safa keep going. so nice
",2
"worst ending.
",0
"worst ending.
",0
"common story
",1
"common story
",1
"Last somay very very sad
",0
"happy ending hole valo hoto
",2
"So sad :((
",0
"nyc history
",2
"Dhaka University te Applied Physics subject ar
",1
"Excellent drama
",2
"Excellent drama
",2
"tuition master hisabe mile amer sathe
",1
"tuition master hisabe mile amer sathe
",2
"Sas kano amon kosto feel so much cry.
",1
"so nice & different history, but last scene is unexpected. why this type of finishing is again & again!!!!! Apurba is the king of bangladeshi natok.
",2
"Beautifully. Story
",2
"Excellent natok?
",2
"osthir sintay
",2
"Very common ending
",0
"Sotti Oshadaron Natok Ta
",2
"so nice boss I love you arupbo
",2
"Still Listening in 2018
",2
"The start of the song reminds me one of the `suspense background` songs of game of thrones:)
",2
"nice song.
",2
"plz keou jodi video tar concept
",1
"plz keou jodi video tar concept
",1
"Marilyn K. Wedge don’t undarstand????
",1
"Miss You Tuhin Bhai, Shironamhin er new song ta o valo korse. as always great music and other staff. One thing is missing that is Tuhin Voice. We need to accept it cause Shironamhin is love. But always miss your tone
",1
"dear sweetheart , can you give a smile to commit suicide with rage that makes everybody know the good guys are lost in the war both sides of the glittering glass?
",2
"my favorite song is it
",2
"Cant stop myself to listen this song again, again and again
",2
"My fav song
",2
"Come back Tuhin. Without you Shironamhin is incomplete
",2
"Now I hate 253something+ people in this world
",0
"Brilliant Song
",2
"Video er stage ta Jahangirnagar University Mukto Moncho.
",1
"Ahmed Tayef vai artcell???
",1
"Tanbir Ramim R8bro
",2
"me today :)
",2
"Anti Shironamhin
",0
"Anti Shironamhin
",0
"the hard touch song
",2
"Zia wrote it
",1
"Tuhin Vai I am big fan of your song
",2
"very nice song,,,but ganti sunle amar khub kanna ase i miss my love,,
",2
"why the dislike the I thing some of people mentally
",0
"dear can u give me a smile
",2
"dear can u give me a smile
",1
"very much addicted to the what fearless lyrics and congrats to the team of
",2
"who the fucker unliked
",0
"my best band song
",2
"I know. Whatever it was, it was stupid.
",0
"I know. Whatever it was, it was stupid.
",0
"I know. Whatever it was, it was stupid.
",0
"+Abir Hasan Dipu stupid? What on Earth are you even talking about? That was the explanation of the song. Did you even spare a minute to watch the video? Could you related the lyrics? It is hard, even if you could. The lyrics aren't that straight forward. So the writing partially explained the concept of the song
",0
"check out our AJ RAATE KONO RUPKOTHA NEI cover. we bet you will love it. and don't forget to share. thanks!
",2
"vary nice like
",2
"love you shironamhin love you hashimukh
",2
"love you shironamhin love you hashimukh
",2
"what do you mean ""onekdin por bhalo ekta composition sunte pelam"". Shironamhin has multiple other infamous and exceptionally melodious
",2
"beautiful
",2
"whats with the slutty nurse guys. your better then this
",0
"Amazingly creative in every aspect. Music-lyrics itself, video, cinematography, camera work, story telling, Keep on
",2
"Osthir Music Video!!
",2
"more then an epic
",2
"2018 ❤ anyone??
",2
"still in
",1
"My Song
",1
"Who is listening on 2018
",2
"listing to
",1
"Long boss,,
",1
"Long boss,,
",2
"MY FAVRT SONNGGG
",2
"Tomar Jonno Nilche Tarar Ektu Khani Alo (Here is some blue starlight for you) Bhorer Rong Raater Mishe kalo (The night and dawn are mixed in black) Kath Golaper Shadar Maya Mishiye Diye Bhabi (I wonder, with some added grace of a white flower) Abchha Nil Tomar Lage Bhalo (that You'll like the light blue colour). Bhabna Amar Shimul Daale Lalche Agun Jale (I think of the tree behind which the burning red begins to appear) Mohuar Bone Matal Hawa Khele (the wind still plays around the whistler's nest) Ek Mutho Rod Akash Bhora Tara (a handful of sun with the star studded sky) Bhije Mati te Joler Noksha Kora (the dew has made a moist mark on the soil) Monke Shudhu Pagol Kore Fele (My mind is delighted) Tomay Ghire Eto Gulo Raat Odhir Hoye Jege Thaka (I have spent many nights awake looking at you) Tomay Ghire Amar Bhalo Laga (My heart has much affection for you) Akash Bhora Tarar Aloy Tomay Dekhe Dekhe (I look at you under the starlight ) Bhalobashar Pakhi Mele Mon Bholano Pakha (Love lures me with its wings spread wide). - I found this on Yahoo Answers. Credit goes to the translator.
",1
"MY LOVE ORNOB
",2
"Allu Arjun Where do they live?
",1
"simple man and uncommon voice ur songs my favorite song arnob
",2
"again, again,
",1
"feel something different
",2
"Rima mannan really?
",1
"So Cute
",2
"This is probably the first song of Arnob I heard in still on top of my favourite song listening it in
",2
"This song is a dope I can't get over it!
",2
