id;text;label;score;lan;domain
2283;Your are very good. keep it up;1;1;EN;funny_video
2286;চাকিপ ক্যানের মুবি রিব্যু বেচি বেচি;1;0;BN;funny_video
2289;আপনি বাংলাদেশী এইটা সত্যি অবাক করার বিষয়;1;0;BN;funny_video
2296;নতুন নতুন সিমেনার চাই;1;0;BN;funny_video
2300;Eto buddhi kibhabe shomvob;2;1;RN;funny_video
2305;Osthir;2;1;EN;funny_video
2308;I think this one is the best of all :-D;2;2;EN;funny_video
2310;I enjoy your videos a lot but you had to watch that many Bangla cinema to make this are you still sane?;2;1;EN;funny_video
2318;হালা গোরা হালা;1;-1;BN;funny_video
2319;সুপার দুপার;1;1;BN;funny_video
2323;apnr nam,ki koren,family;1;0;RN;funny_video
2323;apnr nam,ki koren,family;1;0;RN;funny_video
2323;apnr nam,ki koren,family;2;0;RN;funny_video
2324;Aniqa Anjum Proma????;1;0;EN;funny_video
2328;অসাধারণ;2;1;BN;funny_video
2328;অসাধারণ;2;1;BN;funny_video
2329;But I am;1;0;EN;funny_video
2331;vai r video banan nah kn;1;1;RN;funny_video
2333;your good vai !! keep on going :D;1;1;EN;funny_video
2335;abar sai kalo bonduk;1;0;RN;funny_video
2347;vai tumi to daruu;2;1;RN;funny_video
2347;vai tumi to daruu;1;1;RN;funny_video
2354;hahaha;1;0;EN;funny_video
2355;Amon video ro chai bro;1;0;EN;funny_video
2357;joshimer figure bostar moto;2;-1;RN;funny_video
2360;vai tmi best;1;1;RN;funny_video
2361;New video ashe na kn??;1;0;EN;funny_video
2362;vai, doya kore new bangla mobie nia cinemaal jai hokna kano, ager cinema gula best silo, jegulo kharap, segularei pochano uchit;1;-1;RN;funny_video
2374;Shethi is a thicc Boi.;1;0;EN;funny_video
2378;I miss undertaker!;2;0;EN;funny_video
2378;I miss undertaker!;2;0;EN;funny_video
2383;vi, sotti haste haste pore gesi, plz r troll korenna ebar more jabo haste haste;1;1;EN;funny_video
2386;Awesome! We want;1;1;EN;funny_video
2386;Awesome! We want;2;1;EN;funny_video
2388;Owsam;2;2;RN;funny_video
2389;Joss;2;1;EN;funny_video
2393;ভাত খাইতে বইয়া ভিডিওটা দেখতে লইসিলাম। দেখা অর্ধেক শেষ হইতে না হইতে হাসতে হাসতে গলায় ভাত ঠেইকা গেসে;1;1;BN;funny_video
2407;You are so much;2;1;EN;funny_video
2413;facebook page e ache. youtube e upload korte deyni due to copyright of the song;2;0;EN;funny_video
2418;nice brooooooo;1;1;EN;funny_video
2426;eta just fun video,,,keu seriously niben na;2;0;EN;funny_video
2427;Sudo bd movie ke pochano Chara kisu janen na;2;-1;RN;funny_video
2428;Nure Alam এইগুলা কে মুভি বলে নাকি !;1;-1;BN;funny_video
2430;Allah go!!!!! Eta ami ki apnara to aktu try korlei akhon movie banaite parben. Plz! Try koren;1;1;RN;funny_video
2431;this guy works;1;0;EN;funny_video
2439;great just great;2;2;EN;funny_video
2444;ভ্যাই আরো চাই এমন .;1;1;BN;funny_video
2449;RICK AND MORTY!!!;2;0;EN;funny_video
2462;ButtFiXx waiting;2;0;EN;funny_video
2471;cartoon er nam butt fix;1;0;EN;funny_video
2481;last 3/4 month dhre wait kortesi;2;0;RN;funny_video
2482;উল্লুক ঐটা সাইড কার, হুইলচেয়ার না। জার্মানরা ইউজ করে।;2;-1;BN;funny_video
2490;Dear Rahat Bro Next Video'r Jnno Aro Koto Din Wait Kora Lagbe?;1;0;RN;funny_video
2496;awesome;2;1;EN;funny_video
2498;That Ben make me cry for laughing :D :D;1;1;EN;funny_video
2516;Dude we need some new where you at??;1;0;EN;funny_video
2516;Dude we need some new where you at??;1;0;EN;funny_video
2518;good :D cant wait;2;1;EN;funny_video
2527;vaia apnr vid upload late hoi coz u do quality carry on! only quality is real!;2;1;EN;funny_video
2530;আরে বলদা আনানta জলিল আর বসতির ছেলে হিজলা খান রে নিয়া vedio বানাও। হাসতে হাসতে stroke করলে দায়ী থাকব শাকিব খান ( হিজলা ) ওরুফে বসতি দি সুইপার ইশtar;2;-1;BN;funny_video
2535;vai under taker ka nia video like undertaker;2;0;EN;funny_video
